ID;Label
1129;The Incredible Mr. Limpet
1130;Beethoven
1131;2001: A Space Odyssey
1132;P.S. Your Cat Is Dead
1133;The Caine Mutiny
1134;Shaft's Big Score
1135;Superfly
1136;Snatch
1137;The Good Son
1138;Diva
1139;Alien: Resurrection
1140;The Devils
1141;Madigan's Millions
1142;The Devil's Advocate
1143;...And Justice for All
1144;Exotica
1145;Godzilla
1146;Erin Brockovich
1147;Species
1148;Always
1149;Rapid Fire
1150;Samson and Delilah
1151;The Club
1152;Original Sin
1153;Breaker Morant
1154;The Draughtsman's Contract
1155;Somersault
1156;L'Appartement
1157;Irreversible
1158;Lancelot du Lac
1159;Psycho
1160;Shadows
1161;The Informer
1162;The Set-Up
1163;Visitors
1164;Above the Law
1165;Star Wars Episode III: Revenge of the Sith
1166;Sleepy Hollow
1167;Star Wars Episode II: Attack of the Clones
1168;Meatballs
1169;The Hindenburg
1170;American Beauty
1171;Sugar & Spice
1172;Anne of Green Gables
1173;City Hall
1174;The Protector
1175;Leon
1176;The Crow: City of Angels
1177;Get Over It
1178;Patton
1179;I Confess
1180;Meteor
1181;And God Created Woman
1182;Ed Wood
1183;Three Coins in the Fountain
1184;The Swan
1185;My Best Friend's Birthday
1186;Primal Fear
1187;The Stepfather
1188;Around the World in Eighty Days
1189;Dr. Jekyll and Mr. Hyde
1190;Smilin' Through
1191;...tick...tick...tick...
1192;Mary of Scotland
1193;Mary, Queen of Scots
1194;Metropolis
1195;The Return of the King
1196;Body and Soul
1197;Deathtrap
1198;Sleuth
1199;Summertime
1200;Mr. Baseball
1201;The Last of the Mohicans
1202;Wicker Park
1203;Dragonfly
1204;Hakuchi
1205;Stray Dog
1206;Rashomon
1207;Congo
1208;Robotix
1209;Big Momma's House
1210;The Adventures of Robin Hood
1211;The Sea Hawk
1212;To Be or Not to Be
1213;The Transformers: The Movie
1214;Groove
1215;I'll Never Forget What's 'Isname
1216;I, Robot
1217;The Score
1218;Taegukgi
1219;Anarchists
1220;Dave
1221;A Sound of Thunder
1222;Running on Empty
1223;Sinbad: Legend of the Seven Seas
1224;Tequila Sunrise
1225;Love Field
1226;Hart's War
1227;Speakeasy
1228;Beethoven's 4th
1229;Beethoven's 3rd
1230;Bully
1231;Kids
1232;Election
1233;Glory
1234;Good Boy!
1235;John Carpenter's The Thing
1236;My Girl
1237;The Letter
1238;Alexander's Ragtime Band
1239;Intolerance
1240;It's a Gift
1241;Young Mr. Lincoln
1242;Stitch! The Movie
1243;Alphaville
1244;The Stranger
1245;Look at Me
1246;Magic
1247;Pocahontas
1248;The Net
1249;Hey Arnold!: The Movie
1250;The Black Cauldron
1251;Firefox
1252;Phone Booth
1253;Fluke
1254;Summer School
1255;Lucas
1256;The Baby-Sitters Club
1257;Love & Pop
1258;Ring 0: Birthday
1259;Teacher's Pet
1260;Love Me or Leave Me
1261;Calamity Jane
1262;Look Who's Talking Too
1263;The Party
1264;Murder, Inc.
1265;Marie Antoinette
1266;The Luck of the Irish
1267;The Mark of Zorro
1268;Becky Sharp
1269;Ghost Dog: The Way of the Samurai
1270;Babette's Feast
1271;Head of State
1272;Twentieth Century
1273;I'm Gonna Git You Sucka
1274;Foxy Brown
1275;Jubilee
1276;Martha, Meet Frank, Daniel and Laurence
1277;A Knight's Tale
1278;A Cool, Dry Place
1279;Curdled
1280;Entrapment
1281;Outland
1282;Darby O'Gill and the Little People
1283;A Soldier's Story
1284;Inchon
1285;Mannequin
1286;Thunderbolt
1287;Indochine
1288;Teaching Mrs. Tingle
1289;Fear
1290;Blade
1291;I'll Cry Tomorrow
